TABLE_NAME,COLUMN_NAME,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
asiin_assessment_tool,assessment_id,assessment,id
asiin_assessment_tool,clo_id,asiin_clo,id
asiin_assessment_tool,course_id,course,id
asiin_closlo,clo_id,asiin_clo,id
asiin_closlo,slo_id,slo,id
assessment_tool,assessment_id,assessment,id
assessment_tool,course_id,course,id
assessment_tool,loutcome_id,learning_outcome,id
class_assessment,learning_outcome_id,learning_outcome,id
class_assessment,class_id,class_session,id
class_assessment,assessment_id,assessment,id
class_assessment_course,assessment_id,assessment,id
class_assessment_course,class_id,class_session,id
class_session,course_id,course,id
class_slo_clo,class_id,class_session,id
class_slo_clo,clo_id,learning_outcome,id
class_slo_clo,slo_id,slo,id
clo_slo,lo_id,learning_outcome,id
clo_slo,slo_id,slo,id
course_assessment,course_id,course,id
course_book,book_id,book,id
course_book,course_id,course,id
course_course_relationship,relationship_id,course_relationship,id
course_course_relationship,course_id1,course,id
course_course_relationship,course_id2,course,id
course_department,course_id,course,id
course_department,department_id,department,id
course_instructor,course_id,course,id
course_level,id,course,course_level_id
course_pathway,course_id,course,id
course_pathway,pathway_id,pathway,id
course_pathway,program_id,program,id
course_program,course_id,course,id
course_program,course_type_id,course_type,id
course_program,program_id,program,id
department_instructor,department_id,department,id
department_instructor,instructor_id,instructor,id
learning_outcome,course_id,course,id
major,discipline_id,discipline,id
program,major_id,major,id
program,program_type_id,program_type,id
program_document,program_id,program,id
program_document,document_id,documentary,id
topic,course_id,course,id
topic_detail,topic_id,topic,id
topic_type,id,topic,id
