TABLE_NAME,COLUMN_NAME
account,id
asiin_assessment_tool,clo_id
asiin_assessment_tool,course_id
asiin_assessment_tool,assessment_id
asiin_clo,id
asiin_closlo,clo_id
asiin_closlo,slo_id
assessment,id
book,id
class,id
class_assessment,assessment_id
class_assessment,class_id
class_assessment,learning_outcome_id
class_assessment_course,class_id
class_assessment_course,assessment_id
class_session,id
class_slo_clo,class_id
class_slo_clo,clo_id
class_slo_clo,slo_id
clo_asiin,id
course,id
course_assessment,assessment_id
course_assessment,course_id
course_assessment_asiin,assessment_id
course_assessment_asiin,course_id
course_level,id
course_relationship,id
course_type,id
department,id
discipline,id
documentary,id
instructor,id
learning_outcome,id
major,id
migrations,id
pathway,id
program,id
program_document,id
program_type,id
slo,id
topic,id
topic_detail,id
topic_type,id
